date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-03-02,HINDALCO,BUY,0.5976,STRONG,0.5976,0.2256,0.1768,0.05,Metals
2026-03-02,LTIM,BUY,0.5893,STRONG,0.5893,0.1407,0.27,0.05,IT
2026-03-02,HCLTECH,BUY,0.5573,STRONG,0.5573,0.2609,0.1818,0.05,IT
2026-03-02,M&M,BUY,0.5508,STRONG,0.5508,0.259,0.1903,0.05,Auto
2026-03-02,COALINDIA,BUY,0.5474,MODERATE,0.5474,0.2851,0.1675,0.03,Mining
2026-03-02,ADANIENT,BUY,0.5467,MODERATE,0.5467,0.2532,0.2002,0.03,Conglomerate
2026-03-02,GRASIM,BUY,0.5345,MODERATE,0.5345,0.3103,0.1552,0.03,Cement
2026-03-02,BPCL,BUY,0.5335,MODERATE,0.5335,0.2864,0.1801,0.03,Oil & Gas
2026-03-02,POWERGRID,BUY,0.5323,MODERATE,0.5323,0.3048,0.1629,0.03,Power
2026-03-02,ADANIPORTS,BUY,0.5296,MODERATE,0.5296,0.273,0.1974,0.03,Infrastructure
2026-03-02,APOLLOHOSP,HOLD,0.5427,WEAK,0.2924,0.5427,0.1648,,Healthcare
2026-03-02,HEROMOTOCO,BUY,0.5258,MODERATE,0.5258,0.2992,0.175,,Auto
2026-03-02,WIPRO,BUY,0.5208,MODERATE,0.5208,0.321,0.1582,,IT
2026-03-02,ONGC,BUY,0.5117,MODERATE,0.5117,0.3086,0.1797,,Oil & Gas
2026-03-02,EICHERMOT,BUY,0.4971,MODERATE,0.4971,0.319,0.1839,,Auto
2026-03-02,BAJAJ-AUTO,BUY,0.4939,MODERATE,0.4939,0.3649,0.1412,,Auto
2026-03-02,BRITANNIA,HOLD,0.4909,WEAK,0.3705,0.4909,0.1386,,FMCG
2026-03-02,UPL,BUY,0.4895,MODERATE,0.4895,0.329,0.1814,,Chemicals
2026-03-02,ASIANPAINT,HOLD,0.4868,WEAK,0.3372,0.4868,0.1761,,Consumer Goods
2026-03-02,BAJFINANCE,BUY,0.4837,MODERATE,0.4837,0.3674,0.1489,,Financial Services
2026-03-02,TATACONSUM,BUY,0.4836,MODERATE,0.4836,0.3496,0.1668,,FMCG
2026-03-02,HDFCLIFE,HOLD,0.4771,WEAK,0.3658,0.4771,0.1571,,Insurance
2026-03-02,SBILIFE,HOLD,0.4731,WEAK,0.3471,0.4731,0.1798,,Insurance
2026-03-02,CIPLA,HOLD,0.4729,WEAK,0.35,0.4729,0.1771,,Pharma
2026-03-02,KOTAKBANK,HOLD,0.4712,WEAK,0.4066,0.4712,0.1222,,Banking
2026-03-02,TATASTEEL,BUY,0.4659,MODERATE,0.4659,0.2947,0.2395,,Metals
2026-03-02,SUNPHARMA,HOLD,0.4647,WEAK,0.3538,0.4647,0.1815,,Pharma
2026-03-02,ICICIBANK,HOLD,0.4646,WEAK,0.3275,0.4646,0.2079,,Banking
2026-03-02,HINDUNILVR,HOLD,0.4645,WEAK,0.3758,0.4645,0.1597,,FMCG
2026-03-02,AXISBANK,HOLD,0.4614,WEAK,0.3781,0.4614,0.1605,,Banking
2026-03-02,HDFCBANK,HOLD,0.4541,WEAK,0.4262,0.4541,0.1197,,Banking
2026-03-02,MARUTI,HOLD,0.4434,WEAK,0.3458,0.4434,0.2107,,Auto
2026-03-02,ITC,HOLD,0.4348,WEAK,0.4336,0.4348,0.1316,,FMCG
2026-03-02,TCS,HOLD,0.4346,WEAK,0.3822,0.4346,0.1833,,IT
2026-03-02,NESTLEIND,HOLD,0.4298,WEAK,0.3931,0.4298,0.1772,,FMCG
2026-03-02,RELIANCE,HOLD,0.4151,WEAK,0.3869,0.4151,0.198,,Conglomerate
2026-03-02,LT,HOLD,0.4079,WEAK,0.3898,0.4079,0.2023,,Infrastructure
2026-03-02,TITAN,HOLD,0.4044,WEAK,0.4318,0.4044,0.1638,,Consumer Goods
2026-03-02,INFY,HOLD,0.4032,WEAK,0.4042,0.4032,0.1926,,IT
2026-03-02,BAJAJFINSV,HOLD,0.4006,WEAK,0.401,0.4006,0.1984,,Financial Services
2026-03-02,ULTRACEMCO,HOLD,0.395,WEAK,0.4546,0.395,0.1504,,Cement
2026-03-02,NTPC,HOLD,0.3925,WEAK,0.4388,0.3925,0.1687,,Power
2026-03-02,SBIN,HOLD,0.3871,WEAK,0.416,0.3871,0.1969,,Banking
2026-03-02,JSWSTEEL,HOLD,0.3783,WEAK,0.3791,0.3783,0.2426,,Metals
2026-03-02,DIVISLAB,HOLD,0.3665,WEAK,0.4425,0.3665,0.1911,,Pharma
2026-03-02,BHARTIARTL,HOLD,0.3566,WEAK,0.4538,0.3566,0.1896,,Telecom
2026-03-02,DRREDDY,HOLD,0.3534,WEAK,0.4267,0.3534,0.2199,,Pharma
2026-03-02,INDUSINDBK,HOLD,0.3173,WEAK,0.4351,0.3173,0.2476,,Banking
2026-03-02,TECHM,HOLD,0.2982,WEAK,0.4453,0.2982,0.2565,,IT
