date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-03-16,MARUTI,SELL,0.7512,STRONG,0.1553,0.0935,0.7512,0.0548,Auto
2026-03-16,BAJAJ-AUTO,SELL,0.7186,STRONG,0.1335,0.1479,0.7186,0.05,Auto
2026-03-16,ULTRACEMCO,SELL,0.6629,STRONG,0.1564,0.1807,0.6629,0.05,Cement
2026-03-16,HEROMOTOCO,SELL,0.6374,STRONG,0.1657,0.1969,0.6374,0.05,Auto
2026-03-16,JSWSTEEL,SELL,0.6119,STRONG,0.1739,0.2142,0.6119,0.05,Metals
2026-03-16,LT,SELL,0.5974,STRONG,0.1885,0.2142,0.5974,0.05,Infrastructure
2026-03-16,ADANIPORTS,SELL,0.5967,STRONG,0.1777,0.2256,0.5967,0.05,Infrastructure
2026-03-16,GRASIM,SELL,0.5795,STRONG,0.1712,0.2493,0.5795,0.0452,Cement
2026-03-16,INDUSINDBK,SELL,0.5755,STRONG,0.1496,0.2749,0.5755,0.0,Banking
2026-03-16,BAJAJFINSV,SELL,0.5681,STRONG,0.2599,0.172,0.5681,0.0,Financial Services
2026-03-16,EICHERMOT,SELL,0.6229,STRONG,0.1963,0.1808,0.6229,,Auto
2026-03-16,M&M,SELL,0.5512,STRONG,0.264,0.1848,0.5512,,Auto
2026-03-16,TATASTEEL,SELL,0.5492,MODERATE,0.2079,0.2429,0.5492,,Metals
2026-03-16,HINDALCO,SELL,0.5356,MODERATE,0.2474,0.217,0.5356,,Metals
2026-03-16,AXISBANK,SELL,0.5241,MODERATE,0.2186,0.2573,0.5241,,Banking
2026-03-16,ADANIENT,SELL,0.5194,MODERATE,0.2341,0.2465,0.5194,,Conglomerate
2026-03-16,TCS,HOLD,0.5093,WEAK,0.164,0.5093,0.3267,,IT
2026-03-16,SBIN,SELL,0.5083,MODERATE,0.1841,0.3076,0.5083,,Banking
2026-03-16,BHARTIARTL,HOLD,0.4876,WEAK,0.1811,0.4876,0.3313,,Telecom
2026-03-16,DIVISLAB,SELL,0.4721,MODERATE,0.253,0.2748,0.4721,,Pharma
2026-03-16,UPL,HOLD,0.4699,WEAK,0.184,0.4699,0.346,,Chemicals
2026-03-16,CIPLA,HOLD,0.4651,WEAK,0.1871,0.4651,0.3478,,Pharma
2026-03-16,KOTAKBANK,SELL,0.4649,MODERATE,0.2207,0.3144,0.4649,,Banking
2026-03-16,ONGC,SELL,0.4603,MODERATE,0.2526,0.2871,0.4603,,Oil & Gas
2026-03-16,APOLLOHOSP,SELL,0.4601,MODERATE,0.244,0.2959,0.4601,,Healthcare
2026-03-16,BAJFINANCE,HOLD,0.46,WEAK,0.1542,0.46,0.3858,,Financial Services
2026-03-16,ITC,HOLD,0.4577,WEAK,0.1641,0.4577,0.3782,,FMCG
2026-03-16,ASIANPAINT,HOLD,0.4511,WEAK,0.1974,0.4511,0.3515,,Consumer Goods
2026-03-16,NESTLEIND,HOLD,0.4491,WEAK,0.2226,0.4491,0.3282,,FMCG
2026-03-16,SUNPHARMA,HOLD,0.4431,WEAK,0.2101,0.4431,0.3467,,Pharma
2026-03-16,HCLTECH,HOLD,0.4381,WEAK,0.2097,0.4381,0.3522,,IT
2026-03-16,RELIANCE,HOLD,0.4312,WEAK,0.2343,0.4312,0.3344,,Conglomerate
2026-03-16,ICICIBANK,HOLD,0.4133,WEAK,0.2207,0.4133,0.366,,Banking
2026-03-16,HDFCBANK,HOLD,0.4117,WEAK,0.1923,0.4117,0.396,,Banking
2026-03-16,SBILIFE,HOLD,0.4098,WEAK,0.2194,0.4098,0.3708,,Insurance
2026-03-16,COALINDIA,HOLD,0.4032,WEAK,0.224,0.4032,0.3728,,Mining
2026-03-16,TATACONSUM,HOLD,0.3949,WEAK,0.2026,0.3949,0.4025,,FMCG
2026-03-16,HDFCLIFE,HOLD,0.3931,WEAK,0.2175,0.3931,0.3894,,Insurance
2026-03-16,INFY,HOLD,0.3686,WEAK,0.2258,0.3686,0.4056,,IT
2026-03-16,BRITANNIA,HOLD,0.3641,WEAK,0.1927,0.3641,0.4432,,FMCG
2026-03-16,TITAN,HOLD,0.3638,WEAK,0.2098,0.3638,0.4264,,Consumer Goods
2026-03-16,HINDUNILVR,HOLD,0.36,WEAK,0.2015,0.36,0.4384,,FMCG
2026-03-16,TECHM,HOLD,0.3541,WEAK,0.2303,0.3541,0.4155,,IT
2026-03-16,WIPRO,HOLD,0.3229,WEAK,0.2813,0.3229,0.3958,,IT
2026-03-16,NTPC,HOLD,0.3174,WEAK,0.3407,0.3174,0.3419,,Power
2026-03-16,LTIM,HOLD,0.3174,WEAK,0.2865,0.3174,0.396,,IT
2026-03-16,DRREDDY,HOLD,0.3,WEAK,0.2805,0.3,0.4195,,Pharma
2026-03-16,BPCL,HOLD,0.2939,WEAK,0.2579,0.2939,0.4482,,Oil & Gas
2026-03-16,POWERGRID,HOLD,0.2526,WEAK,0.3669,0.2526,0.3805,,Power
