date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-04-10,INFY,SELL,0.4785,MODERATE,0.2407,0.2808,0.4785,0.03,IT
2026-04-10,DRREDDY,SELL,0.4718,MODERATE,0.2387,0.2895,0.4718,0.03,Pharma
2026-04-10,HEROMOTOCO,SELL,0.4551,MODERATE,0.2325,0.3125,0.4551,0.03,Auto
2026-04-10,TATACONSUM,HOLD,0.5171,WEAK,0.1887,0.5171,0.2942,,FMCG
2026-04-10,TITAN,HOLD,0.4832,WEAK,0.1633,0.4832,0.3534,,Consumer Goods
2026-04-10,UPL,HOLD,0.4812,WEAK,0.1896,0.4812,0.3292,,Chemicals
2026-04-10,SBILIFE,HOLD,0.4728,WEAK,0.2388,0.4728,0.2884,,Insurance
2026-04-10,BAJAJFINSV,HOLD,0.4727,WEAK,0.2191,0.4727,0.3082,,Financial Services
2026-04-10,HDFCBANK,HOLD,0.4638,WEAK,0.1909,0.4638,0.3453,,Banking
2026-04-10,NESTLEIND,HOLD,0.4596,WEAK,0.2535,0.4596,0.2869,,FMCG
2026-04-10,LT,HOLD,0.4542,WEAK,0.1872,0.4542,0.3586,,Infrastructure
2026-04-10,JSWSTEEL,HOLD,0.4495,WEAK,0.221,0.4495,0.3296,,Metals
2026-04-10,ITC,HOLD,0.4492,WEAK,0.1587,0.4492,0.3922,,FMCG
2026-04-10,AXISBANK,HOLD,0.4404,WEAK,0.2155,0.4404,0.344,,Banking
2026-04-10,BAJFINANCE,HOLD,0.4359,WEAK,0.2068,0.4359,0.3573,,Financial Services
2026-04-10,HINDALCO,HOLD,0.433,WEAK,0.2151,0.433,0.3519,,Metals
2026-04-10,APOLLOHOSP,HOLD,0.4284,WEAK,0.2363,0.4284,0.3352,,Healthcare
2026-04-10,ONGC,HOLD,0.4207,WEAK,0.2268,0.4207,0.3525,,Oil & Gas
2026-04-10,ADANIENT,HOLD,0.4189,WEAK,0.2126,0.4189,0.3685,,Conglomerate
2026-04-10,TATASTEEL,HOLD,0.4122,WEAK,0.243,0.4122,0.3448,,Metals
2026-04-10,ULTRACEMCO,HOLD,0.4095,WEAK,0.234,0.4095,0.3565,,Cement
2026-04-10,GRASIM,HOLD,0.4074,WEAK,0.2611,0.4074,0.3315,,Cement
2026-04-10,ICICIBANK,HOLD,0.405,WEAK,0.2175,0.405,0.3776,,Banking
2026-04-10,ASIANPAINT,HOLD,0.4048,WEAK,0.2121,0.4048,0.383,,Consumer Goods
2026-04-10,MARUTI,HOLD,0.4026,WEAK,0.1946,0.4026,0.4028,,Auto
2026-04-10,KOTAKBANK,HOLD,0.4002,WEAK,0.24,0.4002,0.3598,,Banking
2026-04-10,ADANIPORTS,HOLD,0.3996,WEAK,0.1966,0.3996,0.4038,,Infrastructure
2026-04-10,M&M,HOLD,0.398,WEAK,0.2238,0.398,0.3782,,Auto
2026-04-10,BHARTIARTL,HOLD,0.3894,WEAK,0.2617,0.3894,0.3489,,Telecom
2026-04-10,BPCL,HOLD,0.386,WEAK,0.1985,0.386,0.4155,,Oil & Gas
2026-04-10,HCLTECH,HOLD,0.3855,WEAK,0.2092,0.3855,0.4052,,IT
2026-04-10,SBIN,HOLD,0.3821,WEAK,0.2499,0.3821,0.368,,Banking
2026-04-10,RELIANCE,HOLD,0.3795,WEAK,0.2114,0.3795,0.4091,,Conglomerate
2026-04-10,HINDUNILVR,HOLD,0.3749,WEAK,0.2072,0.3749,0.4179,,FMCG
2026-04-10,NTPC,HOLD,0.3692,WEAK,0.2191,0.3692,0.4117,,Power
2026-04-10,WIPRO,HOLD,0.367,WEAK,0.1804,0.367,0.4525,,IT
2026-04-10,EICHERMOT,HOLD,0.3656,WEAK,0.2508,0.3656,0.3836,,Auto
2026-04-10,HDFCLIFE,HOLD,0.3574,WEAK,0.2028,0.3574,0.4398,,Insurance
2026-04-10,LTIM,HOLD,0.3512,WEAK,0.2162,0.3512,0.4325,,IT
2026-04-10,DIVISLAB,HOLD,0.3456,WEAK,0.2976,0.3456,0.3568,,Pharma
2026-04-10,SUNPHARMA,HOLD,0.3431,WEAK,0.2585,0.3431,0.3984,,Pharma
2026-04-10,INDUSINDBK,HOLD,0.3403,WEAK,0.2438,0.3403,0.4159,,Banking
2026-04-10,BRITANNIA,HOLD,0.339,WEAK,0.2192,0.339,0.4417,,FMCG
2026-04-10,BAJAJ-AUTO,HOLD,0.3265,WEAK,0.2819,0.3265,0.3916,,Auto
2026-04-10,TCS,HOLD,0.3222,WEAK,0.2706,0.3222,0.4072,,IT
2026-04-10,TECHM,HOLD,0.3219,WEAK,0.2662,0.3219,0.412,,IT
2026-04-10,COALINDIA,HOLD,0.2998,WEAK,0.282,0.2998,0.4182,,Mining
2026-04-10,POWERGRID,HOLD,0.2993,WEAK,0.2823,0.2993,0.4184,,Power
2026-04-10,CIPLA,HOLD,0.2886,WEAK,0.2615,0.2886,0.45,,Pharma
