date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-03-31,ADANIENT,BUY,0.5166,MODERATE,0.5166,0.2402,0.2432,0.03,Conglomerate
2026-03-31,BAJAJ-AUTO,SELL,0.4821,MODERATE,0.3304,0.1875,0.4821,0.03,Auto
2026-03-31,WIPRO,SELL,0.4505,MODERATE,0.2726,0.2769,0.4505,0.03,IT
2026-03-31,RELIANCE,HOLD,0.5394,WEAK,0.2125,0.5394,0.2481,,Conglomerate
2026-03-31,ONGC,HOLD,0.4722,WEAK,0.1877,0.4722,0.3401,,Oil & Gas
2026-03-31,BHARTIARTL,HOLD,0.4537,WEAK,0.2066,0.4537,0.3397,,Telecom
2026-03-31,TCS,HOLD,0.4536,WEAK,0.2797,0.4536,0.2667,,IT
2026-03-31,TITAN,HOLD,0.4463,WEAK,0.2888,0.4463,0.2649,,Consumer Goods
2026-03-31,BPCL,HOLD,0.4449,WEAK,0.2846,0.4449,0.2705,,Oil & Gas
2026-03-31,NESTLEIND,HOLD,0.4422,WEAK,0.2472,0.4422,0.3106,,FMCG
2026-03-31,ICICIBANK,HOLD,0.4376,WEAK,0.2546,0.4376,0.3078,,Banking
2026-03-31,LT,HOLD,0.4329,WEAK,0.2874,0.4329,0.2797,,Infrastructure
2026-03-31,ITC,HOLD,0.4233,WEAK,0.2108,0.4233,0.3659,,FMCG
2026-03-31,SUNPHARMA,HOLD,0.3977,WEAK,0.24,0.3977,0.3622,,Pharma
2026-03-31,APOLLOHOSP,HOLD,0.3957,WEAK,0.2505,0.3957,0.3538,,Healthcare
2026-03-31,ULTRACEMCO,HOLD,0.3931,WEAK,0.2627,0.3931,0.3442,,Cement
2026-03-31,TATASTEEL,HOLD,0.3881,WEAK,0.2836,0.3881,0.3283,,Metals
2026-03-31,ASIANPAINT,HOLD,0.3812,WEAK,0.2887,0.3812,0.3301,,Consumer Goods
2026-03-31,SBILIFE,HOLD,0.3753,WEAK,0.349,0.3753,0.2757,,Insurance
2026-03-31,BRITANNIA,HOLD,0.3746,WEAK,0.3143,0.3746,0.3111,,FMCG
2026-03-31,HINDUNILVR,HOLD,0.3713,WEAK,0.329,0.3713,0.2997,,FMCG
2026-03-31,TATACONSUM,HOLD,0.3594,WEAK,0.3078,0.3594,0.3328,,FMCG
2026-03-31,DIVISLAB,HOLD,0.3567,WEAK,0.2877,0.3567,0.3556,,Pharma
2026-03-31,AXISBANK,HOLD,0.3443,WEAK,0.3798,0.3443,0.2759,,Banking
2026-03-31,GRASIM,HOLD,0.3411,WEAK,0.379,0.3411,0.2799,,Cement
2026-03-31,SBIN,HOLD,0.3404,WEAK,0.3846,0.3404,0.275,,Banking
2026-03-31,NTPC,HOLD,0.3371,WEAK,0.2987,0.3371,0.3642,,Power
2026-03-31,INFY,HOLD,0.3341,WEAK,0.2732,0.3341,0.3927,,IT
2026-03-31,UPL,HOLD,0.3324,WEAK,0.3954,0.3324,0.2722,,Chemicals
2026-03-31,POWERGRID,HOLD,0.3312,WEAK,0.3027,0.3312,0.3661,,Power
2026-03-31,JSWSTEEL,HOLD,0.3295,WEAK,0.3227,0.3295,0.3478,,Metals
2026-03-31,HDFCLIFE,HOLD,0.3292,WEAK,0.3706,0.3292,0.3002,,Insurance
2026-03-31,HINDALCO,HOLD,0.3176,WEAK,0.3845,0.3176,0.2979,,Metals
2026-03-31,COALINDIA,HOLD,0.3175,WEAK,0.3147,0.3175,0.3678,,Mining
2026-03-31,BAJFINANCE,HOLD,0.317,WEAK,0.3406,0.317,0.3425,,Financial Services
2026-03-31,KOTAKBANK,HOLD,0.3157,WEAK,0.3531,0.3157,0.3312,,Banking
2026-03-31,TECHM,HOLD,0.3148,WEAK,0.2581,0.3148,0.4271,,IT
2026-03-31,HCLTECH,HOLD,0.3139,WEAK,0.2536,0.3139,0.4324,,IT
2026-03-31,BAJAJFINSV,HOLD,0.3121,WEAK,0.394,0.3121,0.2939,,Financial Services
2026-03-31,DRREDDY,HOLD,0.3016,WEAK,0.2894,0.3016,0.409,,Pharma
2026-03-31,HDFCBANK,HOLD,0.3013,WEAK,0.3499,0.3013,0.3488,,Banking
2026-03-31,MARUTI,HOLD,0.2978,WEAK,0.3582,0.2978,0.344,,Auto
2026-03-31,INDUSINDBK,HOLD,0.291,WEAK,0.446,0.291,0.263,,Banking
2026-03-31,CIPLA,HOLD,0.287,WEAK,0.336,0.287,0.377,,Pharma
2026-03-31,M&M,HOLD,0.2825,WEAK,0.4214,0.2825,0.2961,,Auto
2026-03-31,LTIM,HOLD,0.2669,WEAK,0.2918,0.2669,0.4413,,IT
2026-03-31,ADANIPORTS,HOLD,0.2564,WEAK,0.338,0.2564,0.4056,,Infrastructure
2026-03-31,EICHERMOT,HOLD,0.2205,WEAK,0.4366,0.2205,0.343,,Auto
2026-03-31,HEROMOTOCO,HOLD,0.192,WEAK,0.382,0.192,0.4259,,Auto
