date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-03-17,MARUTI,SELL,0.7597,STRONG,0.0937,0.1467,0.7597,0.0563,Auto
2026-03-17,BAJAJ-AUTO,SELL,0.6653,STRONG,0.1285,0.2062,0.6653,0.05,Auto
2026-03-17,ADANIPORTS,SELL,0.6203,STRONG,0.1753,0.2043,0.6203,0.05,Infrastructure
2026-03-17,INDUSINDBK,SELL,0.6109,STRONG,0.1343,0.2548,0.6109,0.05,Banking
2026-03-17,AXISBANK,SELL,0.5569,STRONG,0.1475,0.2956,0.5569,0.05,Banking
2026-03-17,ADANIENT,SELL,0.5542,STRONG,0.1937,0.2521,0.5542,0.05,Conglomerate
2026-03-17,JSWSTEEL,SELL,0.5436,MODERATE,0.1535,0.3029,0.5436,0.03,Metals
2026-03-17,HEROMOTOCO,SELL,0.5426,MODERATE,0.2076,0.2498,0.5426,0.03,Auto
2026-03-17,DIVISLAB,SELL,0.5298,MODERATE,0.1594,0.3108,0.5298,0.03,Pharma
2026-03-17,GRASIM,SELL,0.5202,MODERATE,0.1781,0.3017,0.5202,0.0037,Cement
2026-03-17,BHARTIARTL,HOLD,0.5623,WEAK,0.1422,0.5623,0.2955,,Telecom
2026-03-17,EICHERMOT,SELL,0.5274,MODERATE,0.1697,0.3029,0.5274,,Auto
2026-03-17,TCS,HOLD,0.5246,WEAK,0.1648,0.5246,0.3106,,IT
2026-03-17,LT,SELL,0.5185,MODERATE,0.143,0.3385,0.5185,,Infrastructure
2026-03-17,SBIN,SELL,0.5117,MODERATE,0.1887,0.2996,0.5117,,Banking
2026-03-17,ITC,HOLD,0.5107,WEAK,0.112,0.5107,0.3773,,FMCG
2026-03-17,CIPLA,HOLD,0.5088,WEAK,0.1517,0.5088,0.3395,,Pharma
2026-03-17,BAJAJFINSV,SELL,0.5061,MODERATE,0.1672,0.3267,0.5061,,Financial Services
2026-03-17,M&M,SELL,0.5,MODERATE,0.1936,0.3065,0.5,,Auto
2026-03-17,INFY,HOLD,0.4985,WEAK,0.1517,0.4985,0.3498,,IT
2026-03-17,KOTAKBANK,SELL,0.4981,MODERATE,0.1857,0.3162,0.4981,,Banking
2026-03-17,HDFCBANK,HOLD,0.4839,WEAK,0.1488,0.4839,0.3674,,Banking
2026-03-17,UPL,HOLD,0.4779,WEAK,0.1896,0.4779,0.3325,,Chemicals
2026-03-17,SUNPHARMA,HOLD,0.4734,WEAK,0.2388,0.4734,0.2877,,Pharma
2026-03-17,WIPRO,SELL,0.4672,MODERATE,0.2224,0.3104,0.4672,,IT
2026-03-17,ONGC,SELL,0.4641,MODERATE,0.2444,0.2915,0.4641,,Oil & Gas
2026-03-17,TATASTEEL,SELL,0.4636,MODERATE,0.2228,0.3136,0.4636,,Metals
2026-03-17,BAJFINANCE,HOLD,0.4548,WEAK,0.1593,0.4548,0.3859,,Financial Services
2026-03-17,ASIANPAINT,HOLD,0.4521,WEAK,0.1582,0.4521,0.3897,,Consumer Goods
2026-03-17,SBILIFE,HOLD,0.4517,WEAK,0.1663,0.4517,0.382,,Insurance
2026-03-17,HDFCLIFE,HOLD,0.443,WEAK,0.1615,0.443,0.3954,,Insurance
2026-03-17,RELIANCE,HOLD,0.4361,WEAK,0.2603,0.4361,0.3036,,Conglomerate
2026-03-17,HCLTECH,HOLD,0.4344,WEAK,0.1861,0.4344,0.3795,,IT
2026-03-17,NESTLEIND,HOLD,0.4068,WEAK,0.1658,0.4068,0.4275,,FMCG
2026-03-17,COALINDIA,HOLD,0.3948,WEAK,0.2299,0.3948,0.3752,,Mining
2026-03-17,APOLLOHOSP,HOLD,0.3915,WEAK,0.1963,0.3915,0.4122,,Healthcare
2026-03-17,ULTRACEMCO,HOLD,0.3853,WEAK,0.1321,0.3853,0.4827,,Cement
2026-03-17,HINDUNILVR,HOLD,0.3837,WEAK,0.1628,0.3837,0.4535,,FMCG
2026-03-17,TITAN,HOLD,0.3812,WEAK,0.1504,0.3812,0.4684,,Consumer Goods
2026-03-17,TATACONSUM,HOLD,0.3785,WEAK,0.1776,0.3785,0.4439,,FMCG
2026-03-17,BRITANNIA,HOLD,0.3766,WEAK,0.1673,0.3766,0.456,,FMCG
2026-03-17,ICICIBANK,HOLD,0.3742,WEAK,0.1762,0.3742,0.4496,,Banking
2026-03-17,BPCL,HOLD,0.353,WEAK,0.2383,0.353,0.4087,,Oil & Gas
2026-03-17,LTIM,HOLD,0.3457,WEAK,0.2366,0.3457,0.4177,,IT
2026-03-17,DRREDDY,HOLD,0.3414,WEAK,0.2791,0.3414,0.3796,,Pharma
2026-03-17,NTPC,HOLD,0.3333,WEAK,0.3598,0.3333,0.3069,,Power
2026-03-17,TECHM,HOLD,0.3166,WEAK,0.2548,0.3166,0.4286,,IT
2026-03-17,HINDALCO,HOLD,0.299,WEAK,0.2676,0.299,0.4334,,Metals
2026-03-17,POWERGRID,HOLD,0.2802,WEAK,0.4003,0.2802,0.3195,,Power
