date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-03-20,WIPRO,SELL,0.5789,STRONG,0.2151,0.206,0.5789,0.05,IT
2026-03-20,ONGC,SELL,0.5763,STRONG,0.2463,0.1774,0.5763,0.05,Oil & Gas
2026-03-20,DRREDDY,SELL,0.5615,STRONG,0.2216,0.2169,0.5615,0.05,Pharma
2026-03-20,TATASTEEL,SELL,0.5501,STRONG,0.2407,0.2091,0.5501,0.05,Metals
2026-03-20,BPCL,SELL,0.5317,MODERATE,0.2519,0.2163,0.5317,0.03,Oil & Gas
2026-03-20,COALINDIA,SELL,0.525,MODERATE,0.181,0.294,0.525,0.03,Mining
2026-03-20,SUNPHARMA,SELL,0.492,MODERATE,0.185,0.323,0.492,0.03,Pharma
2026-03-20,NTPC,SELL,0.4915,MODERATE,0.2708,0.2377,0.4915,0.03,Power
2026-03-20,CIPLA,SELL,0.4849,MODERATE,0.2506,0.2645,0.4849,0.03,Pharma
2026-03-20,JSWSTEEL,SELL,0.483,MODERATE,0.2637,0.2533,0.483,0.03,Metals
2026-03-20,TCS,HOLD,0.5597,WEAK,0.1649,0.5597,0.2753,,IT
2026-03-20,BRITANNIA,HOLD,0.49,WEAK,0.2019,0.49,0.3081,,FMCG
2026-03-20,INFY,SELL,0.4825,MODERATE,0.1521,0.3654,0.4825,,IT
2026-03-20,HCLTECH,SELL,0.4783,MODERATE,0.1803,0.3414,0.4783,,IT
2026-03-20,NESTLEIND,HOLD,0.4616,WEAK,0.2383,0.4616,0.3001,,FMCG
2026-03-20,POWERGRID,SELL,0.4596,MODERATE,0.3057,0.2346,0.4596,,Power
2026-03-20,LT,HOLD,0.408,WEAK,0.2865,0.408,0.3056,,Infrastructure
2026-03-20,RELIANCE,HOLD,0.4053,WEAK,0.1726,0.4053,0.4222,,Conglomerate
2026-03-20,ITC,HOLD,0.4035,WEAK,0.1126,0.4035,0.484,,FMCG
2026-03-20,HINDUNILVR,HOLD,0.4019,WEAK,0.2427,0.4019,0.3554,,FMCG
2026-03-20,TITAN,HOLD,0.3964,WEAK,0.2043,0.3964,0.3993,,Consumer Goods
2026-03-20,BHARTIARTL,HOLD,0.3905,WEAK,0.2137,0.3905,0.3958,,Telecom
2026-03-20,EICHERMOT,HOLD,0.3787,WEAK,0.2897,0.3787,0.3316,,Auto
2026-03-20,BAJFINANCE,HOLD,0.3696,WEAK,0.3084,0.3696,0.3221,,Financial Services
2026-03-20,ASIANPAINT,HOLD,0.3692,WEAK,0.2206,0.3692,0.4102,,Consumer Goods
2026-03-20,APOLLOHOSP,HOLD,0.3676,WEAK,0.2478,0.3676,0.3846,,Healthcare
2026-03-20,SBIN,HOLD,0.3641,WEAK,0.3088,0.3641,0.3271,,Banking
2026-03-20,TECHM,HOLD,0.361,WEAK,0.1917,0.361,0.4474,,IT
2026-03-20,ULTRACEMCO,HOLD,0.3553,WEAK,0.2713,0.3553,0.3733,,Cement
2026-03-20,DIVISLAB,HOLD,0.3539,WEAK,0.2448,0.3539,0.4013,,Pharma
2026-03-20,TATACONSUM,HOLD,0.3438,WEAK,0.2408,0.3438,0.4154,,FMCG
2026-03-20,SBILIFE,HOLD,0.3423,WEAK,0.2748,0.3423,0.3829,,Insurance
2026-03-20,LTIM,HOLD,0.3365,WEAK,0.2364,0.3365,0.4271,,IT
2026-03-20,BAJAJ-AUTO,HOLD,0.3233,WEAK,0.3026,0.3233,0.3741,,Auto
2026-03-20,ADANIPORTS,HOLD,0.3017,WEAK,0.2824,0.3017,0.4159,,Infrastructure
2026-03-20,HDFCLIFE,HOLD,0.2955,WEAK,0.2619,0.2955,0.4425,,Insurance
2026-03-20,AXISBANK,HOLD,0.2933,WEAK,0.3204,0.2933,0.3862,,Banking
2026-03-20,BAJAJFINSV,HOLD,0.2913,WEAK,0.3731,0.2913,0.3356,,Financial Services
2026-03-20,KOTAKBANK,HOLD,0.2797,WEAK,0.3354,0.2797,0.3849,,Banking
2026-03-20,UPL,HOLD,0.2752,WEAK,0.3042,0.2752,0.4205,,Chemicals
2026-03-20,MARUTI,HOLD,0.2654,WEAK,0.3257,0.2654,0.4089,,Auto
2026-03-20,ICICIBANK,HOLD,0.2582,WEAK,0.3816,0.2582,0.3602,,Banking
2026-03-20,HEROMOTOCO,HOLD,0.2553,WEAK,0.3447,0.2553,0.4,,Auto
2026-03-20,INDUSINDBK,HOLD,0.2519,WEAK,0.3326,0.2519,0.4156,,Banking
2026-03-20,ADANIENT,HOLD,0.2358,WEAK,0.3578,0.2358,0.4064,,Conglomerate
2026-03-20,M&M,HOLD,0.2265,WEAK,0.4322,0.2265,0.3413,,Auto
2026-03-20,GRASIM,HOLD,0.2235,WEAK,0.3858,0.2235,0.3907,,Cement
2026-03-20,HINDALCO,HOLD,0.1943,WEAK,0.3818,0.1943,0.4239,,Metals
2026-03-20,HDFCBANK,HOLD,0.1847,WEAK,0.4361,0.1847,0.3792,,Banking
