date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-04-06,GRASIM,BUY,0.6657,STRONG,0.6657,0.1708,0.1635,0.05,Cement
2026-04-06,HDFCBANK,BUY,0.5978,STRONG,0.5978,0.2274,0.1749,0.05,Banking
2026-04-06,UPL,BUY,0.5942,STRONG,0.5942,0.186,0.2198,0.05,Chemicals
2026-04-06,ADANIENT,BUY,0.5856,STRONG,0.5856,0.2523,0.1621,0.05,Conglomerate
2026-04-06,RELIANCE,BUY,0.5839,STRONG,0.5839,0.2298,0.1863,0.05,Conglomerate
2026-04-06,HEROMOTOCO,BUY,0.5796,STRONG,0.5796,0.2017,0.2186,0.05,Auto
2026-04-06,BAJFINANCE,BUY,0.5583,STRONG,0.5583,0.226,0.2157,0.05,Financial Services
2026-04-06,LT,BUY,0.5445,MODERATE,0.5445,0.2331,0.2224,0.03,Infrastructure
2026-04-06,HINDALCO,BUY,0.54,MODERATE,0.54,0.1949,0.2651,0.03,Metals
2026-04-06,JSWSTEEL,BUY,0.5338,MODERATE,0.5338,0.2726,0.1936,0.03,Metals
2026-04-06,WIPRO,BUY,0.5336,MODERATE,0.5336,0.2053,0.2611,,IT
2026-04-06,M&M,BUY,0.5316,MODERATE,0.5316,0.2885,0.1798,,Auto
2026-04-06,EICHERMOT,BUY,0.5259,MODERATE,0.5259,0.2785,0.1956,,Auto
2026-04-06,MARUTI,BUY,0.5201,MODERATE,0.5201,0.2516,0.2283,,Auto
2026-04-06,INDUSINDBK,BUY,0.5112,MODERATE,0.5112,0.2887,0.2001,,Banking
2026-04-06,SUNPHARMA,BUY,0.5112,MODERATE,0.5112,0.2644,0.2244,,Pharma
2026-04-06,LTIM,BUY,0.5058,MODERATE,0.5058,0.1866,0.3076,,IT
2026-04-06,TCS,BUY,0.5049,MODERATE,0.5049,0.3174,0.1777,,IT
2026-04-06,ICICIBANK,BUY,0.5028,MODERATE,0.5028,0.3291,0.1681,,Banking
2026-04-06,SBIN,BUY,0.5008,MODERATE,0.5008,0.3187,0.1805,,Banking
2026-04-06,TATASTEEL,BUY,0.4975,MODERATE,0.4975,0.2215,0.281,,Metals
2026-04-06,ADANIPORTS,BUY,0.4955,MODERATE,0.4955,0.2389,0.2657,,Infrastructure
2026-04-06,BAJAJFINSV,BUY,0.4931,MODERATE,0.4931,0.3356,0.1714,,Financial Services
2026-04-06,ASIANPAINT,BUY,0.4908,MODERATE,0.4908,0.2975,0.2117,,Consumer Goods
2026-04-06,AXISBANK,BUY,0.483,MODERATE,0.483,0.2921,0.2248,,Banking
2026-04-06,BRITANNIA,HOLD,0.4823,WEAK,0.332,0.4823,0.1857,,FMCG
2026-04-06,ULTRACEMCO,BUY,0.4813,MODERATE,0.4813,0.3004,0.2183,,Cement
2026-04-06,KOTAKBANK,BUY,0.4743,MODERATE,0.4743,0.326,0.1997,,Banking
2026-04-06,BHARTIARTL,HOLD,0.4737,WEAK,0.3498,0.4737,0.1765,,Telecom
2026-04-06,DRREDDY,BUY,0.4737,MODERATE,0.4737,0.2761,0.2502,,Pharma
2026-04-06,POWERGRID,BUY,0.4706,MODERATE,0.4706,0.2093,0.3201,,Power
2026-04-06,DIVISLAB,BUY,0.4695,MODERATE,0.4695,0.327,0.2036,,Pharma
2026-04-06,TATACONSUM,BUY,0.463,MODERATE,0.463,0.2746,0.2624,,FMCG
2026-04-06,BAJAJ-AUTO,BUY,0.4585,MODERATE,0.4585,0.225,0.3165,,Auto
2026-04-06,ITC,HOLD,0.4369,WEAK,0.3444,0.4369,0.2187,,FMCG
2026-04-06,HINDUNILVR,HOLD,0.4325,WEAK,0.3727,0.4325,0.1947,,FMCG
2026-04-06,NESTLEIND,HOLD,0.4153,WEAK,0.3525,0.4153,0.2322,,FMCG
2026-04-06,TITAN,HOLD,0.3987,WEAK,0.3512,0.3987,0.2501,,Consumer Goods
2026-04-06,SBILIFE,HOLD,0.3917,WEAK,0.4221,0.3917,0.1861,,Insurance
2026-04-06,BPCL,HOLD,0.3792,WEAK,0.3512,0.3792,0.2696,,Oil & Gas
2026-04-06,APOLLOHOSP,HOLD,0.333,WEAK,0.4128,0.333,0.2543,,Healthcare
2026-04-06,TECHM,HOLD,0.3236,WEAK,0.3548,0.3236,0.3216,,IT
2026-04-06,HDFCLIFE,HOLD,0.3164,WEAK,0.4351,0.3164,0.2485,,Insurance
2026-04-06,CIPLA,HOLD,0.3126,WEAK,0.4299,0.3126,0.2575,,Pharma
2026-04-06,HCLTECH,HOLD,0.3049,WEAK,0.4088,0.3049,0.2863,,IT
2026-04-06,INFY,HOLD,0.3026,WEAK,0.4366,0.3026,0.2608,,IT
2026-04-06,ONGC,HOLD,0.2926,WEAK,0.3497,0.2926,0.3577,,Oil & Gas
2026-04-06,NTPC,HOLD,0.2661,WEAK,0.4456,0.2661,0.2883,,Power
2026-04-06,COALINDIA,HOLD,0.2565,WEAK,0.3702,0.2565,0.3733,,Mining
