date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-03-24,ADANIENT,BUY,0.5652,STRONG,0.5652,0.1587,0.2761,0.05,Conglomerate
2026-03-24,BPCL,SELL,0.5053,MODERATE,0.3137,0.181,0.5053,0.03,Oil & Gas
2026-03-24,COALINDIA,BUY,0.4841,MODERATE,0.4841,0.2666,0.2493,0.03,Mining
2026-03-24,TATASTEEL,BUY,0.4837,MODERATE,0.4837,0.2233,0.293,0.03,Metals
2026-03-24,DRREDDY,SELL,0.4817,MODERATE,0.3115,0.2068,0.4817,0.03,Pharma
2026-03-24,NTPC,BUY,0.4689,MODERATE,0.4689,0.2533,0.2778,0.03,Power
2026-03-24,UPL,BUY,0.4648,MODERATE,0.4648,0.2092,0.326,0.03,Chemicals
2026-03-24,BAJAJFINSV,BUY,0.4552,MODERATE,0.4552,0.2812,0.2636,0.03,Financial Services
2026-03-24,POWERGRID,BUY,0.4511,MODERATE,0.4511,0.269,0.2799,0.03,Power
2026-03-24,JSWSTEEL,BUY,0.4507,MODERATE,0.4507,0.2333,0.316,0.03,Metals
2026-03-24,TCS,HOLD,0.4939,WEAK,0.2587,0.4939,0.2473,,IT
2026-03-24,NESTLEIND,HOLD,0.4545,WEAK,0.2426,0.4545,0.3029,,FMCG
2026-03-24,BHARTIARTL,HOLD,0.3947,WEAK,0.2989,0.3947,0.3063,,Telecom
2026-03-24,HCLTECH,HOLD,0.3934,WEAK,0.295,0.3934,0.3116,,IT
2026-03-24,ASIANPAINT,HOLD,0.3878,WEAK,0.3078,0.3878,0.3043,,Consumer Goods
2026-03-24,RELIANCE,HOLD,0.378,WEAK,0.314,0.378,0.308,,Conglomerate
2026-03-24,HDFCLIFE,HOLD,0.3698,WEAK,0.3807,0.3698,0.2495,,Insurance
2026-03-24,TITAN,HOLD,0.3678,WEAK,0.3704,0.3678,0.2617,,Consumer Goods
2026-03-24,HINDUNILVR,HOLD,0.3622,WEAK,0.3129,0.3622,0.325,,FMCG
2026-03-24,BRITANNIA,HOLD,0.3609,WEAK,0.3823,0.3609,0.2568,,FMCG
2026-03-24,TECHM,HOLD,0.3546,WEAK,0.3077,0.3546,0.3377,,IT
2026-03-24,KOTAKBANK,HOLD,0.3488,WEAK,0.3254,0.3488,0.3258,,Banking
2026-03-24,HDFCBANK,HOLD,0.3455,WEAK,0.3263,0.3455,0.3282,,Banking
2026-03-24,DIVISLAB,HOLD,0.3424,WEAK,0.3746,0.3424,0.283,,Pharma
2026-03-24,AXISBANK,HOLD,0.329,WEAK,0.3538,0.329,0.3172,,Banking
2026-03-24,INFY,HOLD,0.3283,WEAK,0.3566,0.3283,0.3151,,IT
2026-03-24,LT,HOLD,0.3254,WEAK,0.3575,0.3254,0.3171,,Infrastructure
2026-03-24,APOLLOHOSP,HOLD,0.3126,WEAK,0.3316,0.3126,0.3558,,Healthcare
2026-03-24,SUNPHARMA,HOLD,0.3126,WEAK,0.3364,0.3126,0.351,,Pharma
2026-03-24,SBIN,HOLD,0.3064,WEAK,0.3955,0.3064,0.2981,,Banking
2026-03-24,TATACONSUM,HOLD,0.2934,WEAK,0.3172,0.2934,0.3894,,FMCG
2026-03-24,SBILIFE,HOLD,0.2917,WEAK,0.3667,0.2917,0.3416,,Insurance
2026-03-24,ITC,HOLD,0.2904,WEAK,0.3443,0.2904,0.3652,,FMCG
2026-03-24,ADANIPORTS,HOLD,0.2825,WEAK,0.4155,0.2825,0.3021,,Infrastructure
2026-03-24,ICICIBANK,HOLD,0.2793,WEAK,0.4466,0.2793,0.2741,,Banking
2026-03-24,EICHERMOT,HOLD,0.2742,WEAK,0.4076,0.2742,0.3182,,Auto
2026-03-24,ULTRACEMCO,HOLD,0.2647,WEAK,0.3849,0.2647,0.3504,,Cement
2026-03-24,MARUTI,HOLD,0.2641,WEAK,0.3724,0.2641,0.3635,,Auto
2026-03-24,ONGC,HOLD,0.2589,WEAK,0.3054,0.2589,0.4357,,Oil & Gas
2026-03-24,CIPLA,HOLD,0.2584,WEAK,0.3049,0.2584,0.4367,,Pharma
2026-03-24,HINDALCO,HOLD,0.2527,WEAK,0.4475,0.2527,0.2998,,Metals
2026-03-24,HEROMOTOCO,HOLD,0.2447,WEAK,0.4377,0.2447,0.3176,,Auto
2026-03-24,GRASIM,HOLD,0.2436,WEAK,0.426,0.2436,0.3304,,Cement
2026-03-24,BAJAJ-AUTO,HOLD,0.2399,WEAK,0.3832,0.2399,0.3769,,Auto
2026-03-24,WIPRO,HOLD,0.2375,WEAK,0.3578,0.2375,0.4047,,IT
2026-03-24,LTIM,HOLD,0.2283,WEAK,0.4162,0.2283,0.3555,,IT
2026-03-24,M&M,HOLD,0.2198,WEAK,0.4119,0.2198,0.3683,,Auto
2026-03-24,BAJFINANCE,HOLD,0.2047,WEAK,0.3496,0.2047,0.4457,,Financial Services
2026-03-24,INDUSINDBK,HOLD,0.2014,WEAK,0.3834,0.2014,0.4152,,Banking
