date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-03-27,ADANIENT,BUY,0.6787,STRONG,0.6787,0.1933,0.128,0.05,Conglomerate
2026-03-27,BAJFINANCE,BUY,0.6512,STRONG,0.6512,0.1863,0.1626,0.05,Financial Services
2026-03-27,LT,BUY,0.6482,STRONG,0.6482,0.195,0.1568,0.05,Infrastructure
2026-03-27,EICHERMOT,BUY,0.635,STRONG,0.635,0.1871,0.1779,0.05,Auto
2026-03-27,HINDALCO,BUY,0.6326,STRONG,0.6326,0.1944,0.173,0.05,Metals
2026-03-27,BAJAJFINSV,BUY,0.623,STRONG,0.623,0.2007,0.1762,0.05,Financial Services
2026-03-27,ADANIPORTS,BUY,0.6217,STRONG,0.6217,0.1878,0.1905,0.05,Infrastructure
2026-03-27,M&M,BUY,0.6051,STRONG,0.6051,0.2019,0.193,0.05,Auto
2026-03-27,AXISBANK,BUY,0.6039,STRONG,0.6039,0.1992,0.1968,0.05,Banking
2026-03-27,INDUSINDBK,BUY,0.5978,STRONG,0.5978,0.211,0.1912,0.05,Banking
2026-03-27,BAJAJ-AUTO,BUY,0.5858,STRONG,0.5858,0.2311,0.1831,,Auto
2026-03-27,TCS,HOLD,0.5823,WEAK,0.2601,0.5823,0.1576,,IT
2026-03-27,GRASIM,BUY,0.5738,STRONG,0.5738,0.2295,0.1967,,Cement
2026-03-27,HDFCLIFE,BUY,0.5704,STRONG,0.5704,0.2244,0.2052,,Insurance
2026-03-27,LTIM,BUY,0.5677,STRONG,0.5677,0.2035,0.2288,,IT
2026-03-27,UPL,BUY,0.5661,STRONG,0.5661,0.2313,0.2026,,Chemicals
2026-03-27,HEROMOTOCO,BUY,0.5644,STRONG,0.5644,0.2585,0.1771,,Auto
2026-03-27,JSWSTEEL,BUY,0.563,STRONG,0.563,0.2196,0.2174,,Metals
2026-03-27,TATASTEEL,BUY,0.5295,MODERATE,0.5295,0.2268,0.2437,,Metals
2026-03-27,BPCL,BUY,0.5293,MODERATE,0.5293,0.2094,0.2613,,Oil & Gas
2026-03-27,MARUTI,BUY,0.5253,MODERATE,0.5253,0.2766,0.1981,,Auto
2026-03-27,ULTRACEMCO,BUY,0.5123,MODERATE,0.5123,0.2557,0.232,,Cement
2026-03-27,KOTAKBANK,BUY,0.5056,MODERATE,0.5056,0.2889,0.2055,,Banking
2026-03-27,ICICIBANK,BUY,0.5036,MODERATE,0.5036,0.3213,0.1752,,Banking
2026-03-27,TITAN,BUY,0.5032,MODERATE,0.5032,0.3163,0.1805,,Consumer Goods
2026-03-27,POWERGRID,BUY,0.5004,MODERATE,0.5004,0.2597,0.2398,,Power
2026-03-27,ONGC,SELL,0.492,MODERATE,0.2091,0.2989,0.492,,Oil & Gas
2026-03-27,SBILIFE,BUY,0.4902,MODERATE,0.4902,0.3171,0.1927,,Insurance
2026-03-27,HDFCBANK,BUY,0.4789,MODERATE,0.4789,0.3386,0.1825,,Banking
2026-03-27,COALINDIA,BUY,0.4758,MODERATE,0.4758,0.2954,0.2288,,Mining
2026-03-27,CIPLA,BUY,0.4707,MODERATE,0.4707,0.3179,0.2114,,Pharma
2026-03-27,TATACONSUM,BUY,0.4652,MODERATE,0.4652,0.3132,0.2216,,FMCG
2026-03-27,RELIANCE,BUY,0.4598,MODERATE,0.4598,0.3593,0.1809,,Conglomerate
2026-03-27,ITC,HOLD,0.4495,WEAK,0.307,0.4495,0.2435,,FMCG
2026-03-27,BRITANNIA,HOLD,0.4362,WEAK,0.3889,0.4362,0.1749,,FMCG
2026-03-27,NESTLEIND,HOLD,0.4307,WEAK,0.374,0.4307,0.1953,,FMCG
2026-03-27,SUNPHARMA,HOLD,0.4297,WEAK,0.3106,0.4297,0.2597,,Pharma
2026-03-27,INFY,HOLD,0.4188,WEAK,0.3578,0.4188,0.2234,,IT
2026-03-27,ASIANPAINT,HOLD,0.3992,WEAK,0.4349,0.3992,0.1659,,Consumer Goods
2026-03-27,BHARTIARTL,HOLD,0.3897,WEAK,0.4261,0.3897,0.1841,,Telecom
2026-03-27,SBIN,HOLD,0.3826,WEAK,0.4373,0.3826,0.1801,,Banking
2026-03-27,HINDUNILVR,HOLD,0.3759,WEAK,0.471,0.3759,0.1531,,FMCG
2026-03-27,DIVISLAB,HOLD,0.3676,WEAK,0.4344,0.3676,0.198,,Pharma
2026-03-27,WIPRO,HOLD,0.3515,WEAK,0.3781,0.3515,0.2704,,IT
2026-03-27,TECHM,HOLD,0.3392,WEAK,0.3195,0.3392,0.3413,,IT
2026-03-27,HCLTECH,HOLD,0.3307,WEAK,0.3373,0.3307,0.332,,IT
2026-03-27,NTPC,HOLD,0.2974,WEAK,0.3946,0.2974,0.308,,Power
2026-03-27,APOLLOHOSP,HOLD,0.2771,WEAK,0.3976,0.2771,0.3253,,Healthcare
2026-03-27,DRREDDY,HOLD,0.2706,WEAK,0.3944,0.2706,0.335,,Pharma
