date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-03-19,ONGC,SELL,0.5398,MODERATE,0.2118,0.2484,0.5398,0.03,Oil & Gas
2026-03-19,WIPRO,SELL,0.5382,MODERATE,0.2613,0.2006,0.5382,0.03,IT
2026-03-19,BPCL,SELL,0.5143,MODERATE,0.2672,0.2185,0.5143,0.03,Oil & Gas
2026-03-19,COALINDIA,SELL,0.4698,MODERATE,0.2281,0.3021,0.4698,0.03,Mining
2026-03-19,TATACONSUM,SELL,0.4654,MODERATE,0.2549,0.2797,0.4654,0.03,FMCG
2026-03-19,HINDALCO,BUY,0.4585,MODERATE,0.4585,0.2064,0.3351,0.03,Metals
2026-03-19,M&M,BUY,0.4525,MODERATE,0.4525,0.2569,0.2906,0.03,Auto
2026-03-19,TCS,HOLD,0.5433,WEAK,0.2003,0.5433,0.2565,,IT
2026-03-19,NESTLEIND,HOLD,0.4676,WEAK,0.2101,0.4676,0.3222,,FMCG
2026-03-19,INFY,HOLD,0.4605,WEAK,0.2247,0.4605,0.3148,,IT
2026-03-19,HDFCLIFE,HOLD,0.4368,WEAK,0.2156,0.4368,0.3476,,Insurance
2026-03-19,BRITANNIA,HOLD,0.4358,WEAK,0.2331,0.4358,0.3311,,FMCG
2026-03-19,SBIN,HOLD,0.4308,WEAK,0.2887,0.4308,0.2805,,Banking
2026-03-19,ULTRACEMCO,HOLD,0.4292,WEAK,0.24,0.4292,0.3308,,Cement
2026-03-19,RELIANCE,HOLD,0.4291,WEAK,0.2212,0.4291,0.3497,,Conglomerate
2026-03-19,TITAN,HOLD,0.423,WEAK,0.2532,0.423,0.3238,,Consumer Goods
2026-03-19,APOLLOHOSP,HOLD,0.4142,WEAK,0.2427,0.4142,0.343,,Healthcare
2026-03-19,CIPLA,HOLD,0.4106,WEAK,0.2473,0.4106,0.3421,,Pharma
2026-03-19,ASIANPAINT,HOLD,0.4072,WEAK,0.2686,0.4072,0.3241,,Consumer Goods
2026-03-19,KOTAKBANK,HOLD,0.4046,WEAK,0.2799,0.4046,0.3155,,Banking
2026-03-19,BHARTIARTL,HOLD,0.4012,WEAK,0.2501,0.4012,0.3487,,Telecom
2026-03-19,ITC,HOLD,0.4002,WEAK,0.1834,0.4002,0.4164,,FMCG
2026-03-19,SUNPHARMA,HOLD,0.3973,WEAK,0.2413,0.3973,0.3615,,Pharma
2026-03-19,EICHERMOT,HOLD,0.3908,WEAK,0.2848,0.3908,0.3243,,Auto
2026-03-19,ICICIBANK,HOLD,0.3858,WEAK,0.2978,0.3858,0.3164,,Banking
2026-03-19,HINDUNILVR,HOLD,0.3741,WEAK,0.2461,0.3741,0.3798,,FMCG
2026-03-19,BAJFINANCE,HOLD,0.3692,WEAK,0.2851,0.3692,0.3457,,Financial Services
2026-03-19,DIVISLAB,HOLD,0.3551,WEAK,0.2715,0.3551,0.3733,,Pharma
2026-03-19,LT,HOLD,0.339,WEAK,0.3016,0.339,0.3594,,Infrastructure
2026-03-19,TECHM,HOLD,0.3387,WEAK,0.3302,0.3387,0.3311,,IT
2026-03-19,INDUSINDBK,HOLD,0.332,WEAK,0.2895,0.332,0.3786,,Banking
2026-03-19,UPL,HOLD,0.3304,WEAK,0.3588,0.3304,0.3108,,Chemicals
2026-03-19,HCLTECH,HOLD,0.3222,WEAK,0.2664,0.3222,0.4114,,IT
2026-03-19,ADANIENT,HOLD,0.3194,WEAK,0.3511,0.3194,0.3295,,Conglomerate
2026-03-19,AXISBANK,HOLD,0.305,WEAK,0.3012,0.305,0.3939,,Banking
2026-03-19,SBILIFE,HOLD,0.3035,WEAK,0.3742,0.3035,0.3223,,Insurance
2026-03-19,BAJAJFINSV,HOLD,0.3025,WEAK,0.3291,0.3025,0.3684,,Financial Services
2026-03-19,LTIM,HOLD,0.2952,WEAK,0.2992,0.2952,0.4056,,IT
2026-03-19,MARUTI,HOLD,0.2942,WEAK,0.3038,0.2942,0.402,,Auto
2026-03-19,BAJAJ-AUTO,HOLD,0.2885,WEAK,0.3304,0.2885,0.381,,Auto
2026-03-19,ADANIPORTS,HOLD,0.2841,WEAK,0.2937,0.2841,0.4222,,Infrastructure
2026-03-19,JSWSTEEL,HOLD,0.2731,WEAK,0.3137,0.2731,0.4132,,Metals
2026-03-19,HEROMOTOCO,HOLD,0.269,WEAK,0.3959,0.269,0.3351,,Auto
2026-03-19,HDFCBANK,HOLD,0.2622,WEAK,0.3402,0.2622,0.3976,,Banking
2026-03-19,DRREDDY,HOLD,0.2583,WEAK,0.3129,0.2583,0.4287,,Pharma
2026-03-19,GRASIM,HOLD,0.2406,WEAK,0.3547,0.2406,0.4047,,Cement
2026-03-19,TATASTEEL,HOLD,0.2212,WEAK,0.4293,0.2212,0.3495,,Metals
2026-03-19,NTPC,HOLD,0.2124,WEAK,0.4135,0.2124,0.3741,,Power
2026-03-19,POWERGRID,HOLD,0.1942,WEAK,0.3592,0.1942,0.4466,,Power
