date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-03-04,UPL,BUY,0.6091,STRONG,0.6091,0.1614,0.2294,0.05,Chemicals
2026-03-04,JSWSTEEL,SELL,0.5981,STRONG,0.2227,0.1791,0.5981,0.05,Metals
2026-03-04,M&M,BUY,0.5837,STRONG,0.5837,0.1792,0.2371,0.05,Auto
2026-03-04,NTPC,SELL,0.5801,STRONG,0.211,0.2089,0.5801,0.05,Power
2026-03-04,COALINDIA,SELL,0.5658,STRONG,0.2283,0.2059,0.5658,0.05,Mining
2026-03-04,INDUSINDBK,SELL,0.5584,STRONG,0.2246,0.2171,0.5584,0.05,Banking
2026-03-04,DRREDDY,SELL,0.5532,STRONG,0.1899,0.2569,0.5532,0.05,Pharma
2026-03-04,SUNPHARMA,SELL,0.5455,MODERATE,0.1881,0.2664,0.5455,0.03,Pharma
2026-03-04,NESTLEIND,SELL,0.5423,MODERATE,0.2032,0.2544,0.5423,0.03,FMCG
2026-03-04,ULTRACEMCO,SELL,0.5377,MODERATE,0.2412,0.2211,0.5377,0.03,Cement
2026-03-04,TITAN,SELL,0.5315,MODERATE,0.2185,0.25,0.5315,,Consumer Goods
2026-03-04,EICHERMOT,SELL,0.5264,MODERATE,0.2622,0.2114,0.5264,,Auto
2026-03-04,GRASIM,BUY,0.5262,MODERATE,0.5262,0.1821,0.2917,,Cement
2026-03-04,SBILIFE,SELL,0.5158,MODERATE,0.2605,0.2237,0.5158,,Insurance
2026-03-04,TATASTEEL,SELL,0.5106,MODERATE,0.3137,0.1757,0.5106,,Metals
2026-03-04,POWERGRID,SELL,0.5104,MODERATE,0.301,0.1886,0.5104,,Power
2026-03-04,AXISBANK,SELL,0.5048,MODERATE,0.2189,0.2763,0.5048,,Banking
2026-03-04,DIVISLAB,SELL,0.4979,MODERATE,0.2384,0.2637,0.4979,,Pharma
2026-03-04,BPCL,SELL,0.4885,MODERATE,0.3276,0.1839,0.4885,,Oil & Gas
2026-03-04,SBIN,SELL,0.4855,MODERATE,0.2362,0.2783,0.4855,,Banking
2026-03-04,BRITANNIA,SELL,0.4852,MODERATE,0.2121,0.3028,0.4852,,FMCG
2026-03-04,APOLLOHOSP,SELL,0.4756,MODERATE,0.169,0.3554,0.4756,,Healthcare
2026-03-04,ADANIENT,BUY,0.4738,MODERATE,0.4738,0.154,0.3722,,Conglomerate
2026-03-04,ICICIBANK,SELL,0.4711,MODERATE,0.1839,0.345,0.4711,,Banking
2026-03-04,ONGC,SELL,0.4641,MODERATE,0.254,0.2819,0.4641,,Oil & Gas
2026-03-04,HINDALCO,SELL,0.4619,MODERATE,0.3516,0.1865,0.4619,,Metals
2026-03-04,TCS,HOLD,0.443,WEAK,0.2876,0.443,0.2695,,IT
2026-03-04,INFY,HOLD,0.3763,WEAK,0.3887,0.3763,0.235,,IT
2026-03-04,ITC,HOLD,0.3662,WEAK,0.3166,0.3662,0.3172,,FMCG
2026-03-04,CIPLA,HOLD,0.3607,WEAK,0.1999,0.3607,0.4394,,Pharma
2026-03-04,WIPRO,HOLD,0.3528,WEAK,0.399,0.3528,0.2481,,IT
2026-03-04,HDFCBANK,HOLD,0.3362,WEAK,0.279,0.3362,0.3848,,Banking
2026-03-04,HDFCLIFE,HOLD,0.3306,WEAK,0.2485,0.3306,0.4209,,Insurance
2026-03-04,ASIANPAINT,HOLD,0.3295,WEAK,0.2461,0.3295,0.4245,,Consumer Goods
2026-03-04,HINDUNILVR,HOLD,0.3181,WEAK,0.3679,0.3181,0.314,,FMCG
2026-03-04,MARUTI,HOLD,0.3023,WEAK,0.313,0.3023,0.3847,,Auto
2026-03-04,KOTAKBANK,HOLD,0.2883,WEAK,0.3341,0.2883,0.3777,,Banking
2026-03-04,TATACONSUM,HOLD,0.284,WEAK,0.355,0.284,0.361,,FMCG
2026-03-04,TECHM,HOLD,0.2783,WEAK,0.3986,0.2783,0.3231,,IT
2026-03-04,BAJAJ-AUTO,HOLD,0.2777,WEAK,0.3181,0.2777,0.4042,,Auto
2026-03-04,HEROMOTOCO,HOLD,0.2638,WEAK,0.3841,0.2638,0.3521,,Auto
2026-03-04,BAJAJFINSV,HOLD,0.2618,WEAK,0.4022,0.2618,0.336,,Financial Services
2026-03-04,RELIANCE,HOLD,0.2584,WEAK,0.3069,0.2584,0.4348,,Conglomerate
2026-03-04,BHARTIARTL,HOLD,0.256,WEAK,0.3979,0.256,0.3461,,Telecom
2026-03-04,LT,HOLD,0.2409,WEAK,0.321,0.2409,0.4381,,Infrastructure
2026-03-04,LTIM,HOLD,0.2336,WEAK,0.4298,0.2336,0.3365,,IT
2026-03-04,HCLTECH,HOLD,0.2161,WEAK,0.4458,0.2161,0.3381,,IT
2026-03-04,BAJFINANCE,HOLD,0.1933,WEAK,0.3663,0.1933,0.4404,,Financial Services
2026-03-04,ADANIPORTS,HOLD,0.1921,WEAK,0.3977,0.1921,0.4103,,Infrastructure
