date,symbol,signal,confidence,strength,prob_up,prob_flat,prob_down,position_size_pct,sector
2026-04-09,HEROMOTOCO,SELL,0.5447,MODERATE,0.2204,0.2349,0.5447,0.03,Auto
2026-04-09,WIPRO,SELL,0.5039,MODERATE,0.1797,0.3164,0.5039,0.03,IT
2026-04-09,ITC,SELL,0.5,MODERATE,0.2008,0.2992,0.5,0.03,FMCG
2026-04-09,BAJAJ-AUTO,SELL,0.4898,MODERATE,0.2404,0.2698,0.4898,0.03,Auto
2026-04-09,INFY,SELL,0.4741,MODERATE,0.2255,0.3004,0.4741,0.03,IT
2026-04-09,TECHM,SELL,0.4686,MODERATE,0.2354,0.2959,0.4686,0.03,IT
2026-04-09,NTPC,SELL,0.4577,MODERATE,0.2288,0.3136,0.4577,0.03,Power
2026-04-09,TITAN,HOLD,0.5519,WEAK,0.1877,0.5519,0.2604,,Consumer Goods
2026-04-09,BAJAJFINSV,HOLD,0.5078,WEAK,0.1901,0.5078,0.302,,Financial Services
2026-04-09,HDFCBANK,HOLD,0.498,WEAK,0.1779,0.498,0.3242,,Banking
2026-04-09,HINDALCO,HOLD,0.4942,WEAK,0.1878,0.4942,0.318,,Metals
2026-04-09,GRASIM,HOLD,0.4861,WEAK,0.2104,0.4861,0.3035,,Cement
2026-04-09,MARUTI,HOLD,0.4724,WEAK,0.1757,0.4724,0.3519,,Auto
2026-04-09,TCS,HOLD,0.4711,WEAK,0.2003,0.4711,0.3286,,IT
2026-04-09,LT,HOLD,0.4672,WEAK,0.2131,0.4672,0.3196,,Infrastructure
2026-04-09,HCLTECH,SELL,0.4631,MODERATE,0.206,0.3308,0.4631,,IT
2026-04-09,ULTRACEMCO,HOLD,0.4474,WEAK,0.2175,0.4474,0.335,,Cement
2026-04-09,BAJFINANCE,HOLD,0.4469,WEAK,0.1743,0.4469,0.3788,,Financial Services
2026-04-09,M&M,HOLD,0.4425,WEAK,0.2179,0.4425,0.3396,,Auto
2026-04-09,SBILIFE,HOLD,0.4276,WEAK,0.2197,0.4276,0.3527,,Insurance
2026-04-09,AXISBANK,HOLD,0.4267,WEAK,0.2012,0.4267,0.3721,,Banking
2026-04-09,UPL,HOLD,0.4225,WEAK,0.1761,0.4225,0.4014,,Chemicals
2026-04-09,SBIN,HOLD,0.4196,WEAK,0.221,0.4196,0.3594,,Banking
2026-04-09,JSWSTEEL,HOLD,0.4156,WEAK,0.2256,0.4156,0.3588,,Metals
2026-04-09,ASIANPAINT,HOLD,0.4147,WEAK,0.2036,0.4147,0.3817,,Consumer Goods
2026-04-09,ONGC,HOLD,0.4111,WEAK,0.2073,0.4111,0.3816,,Oil & Gas
2026-04-09,KOTAKBANK,HOLD,0.409,WEAK,0.21,0.409,0.3809,,Banking
2026-04-09,HINDUNILVR,HOLD,0.4088,WEAK,0.1865,0.4088,0.4046,,FMCG
2026-04-09,ICICIBANK,HOLD,0.4077,WEAK,0.2132,0.4077,0.3792,,Banking
2026-04-09,NESTLEIND,HOLD,0.4063,WEAK,0.2096,0.4063,0.3841,,FMCG
2026-04-09,ADANIENT,HOLD,0.4044,WEAK,0.211,0.4044,0.3845,,Conglomerate
2026-04-09,APOLLOHOSP,HOLD,0.3998,WEAK,0.2413,0.3998,0.359,,Healthcare
2026-04-09,HDFCLIFE,HOLD,0.3978,WEAK,0.2051,0.3978,0.3971,,Insurance
2026-04-09,TATACONSUM,HOLD,0.3957,WEAK,0.2036,0.3957,0.4007,,FMCG
2026-04-09,TATASTEEL,HOLD,0.392,WEAK,0.2204,0.392,0.3876,,Metals
2026-04-09,BRITANNIA,HOLD,0.3895,WEAK,0.2088,0.3895,0.4017,,FMCG
2026-04-09,BPCL,HOLD,0.3882,WEAK,0.1775,0.3882,0.4343,,Oil & Gas
2026-04-09,SUNPHARMA,HOLD,0.385,WEAK,0.2331,0.385,0.3819,,Pharma
2026-04-09,RELIANCE,HOLD,0.3839,WEAK,0.2158,0.3839,0.4003,,Conglomerate
2026-04-09,BHARTIARTL,HOLD,0.3742,WEAK,0.2265,0.3742,0.3993,,Telecom
2026-04-09,EICHERMOT,HOLD,0.3731,WEAK,0.2188,0.3731,0.4081,,Auto
2026-04-09,DIVISLAB,HOLD,0.3707,WEAK,0.2515,0.3707,0.3778,,Pharma
2026-04-09,DRREDDY,HOLD,0.3634,WEAK,0.2012,0.3634,0.4354,,Pharma
2026-04-09,INDUSINDBK,HOLD,0.3588,WEAK,0.2045,0.3588,0.4367,,Banking
2026-04-09,ADANIPORTS,HOLD,0.3481,WEAK,0.2236,0.3481,0.4283,,Infrastructure
2026-04-09,POWERGRID,HOLD,0.345,WEAK,0.2603,0.345,0.3948,,Power
2026-04-09,LTIM,HOLD,0.337,WEAK,0.2509,0.337,0.4121,,IT
2026-04-09,CIPLA,HOLD,0.3137,WEAK,0.2479,0.3137,0.4384,,Pharma
2026-04-09,COALINDIA,HOLD,0.276,WEAK,0.2863,0.276,0.4377,,Mining
